
=== RECUPERATION DIRECTE DES 3 NIVEAUX ===

  [PROGRESSION]    0,0% | bibliotheque 0/0 | demarrage | 0 dossier(s) | fin estimee: calcul en cours
  Connecte : L'AGENCE X [https://lagencexci.sharepoint.com/sites/LAGENCEX]
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 80 dossier(s) | fin estimee: 09:26:04
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 81 dossier(s) | fin estimee: 09:26:17
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 82 dossier(s) | fin estimee: 09:26:24
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 83 dossier(s) | fin estimee: 09:26:33
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 84 dossier(s) | fin estimee: 09:26:45
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 85 dossier(s) | fin estimee: 09:26:51
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 86 dossier(s) | fin estimee: 09:27:00
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 87 dossier(s) | fin estimee: 09:27:07
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 88 dossier(s) | fin estimee: 09:27:15
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 89 dossier(s) | fin estimee: 09:27:21
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 90 dossier(s) | fin estimee: 09:27:33
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 91 dossier(s) | fin estimee: 09:27:41
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 92 dossier(s) | fin estimee: 09:27:52
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 93 dossier(s) | fin estimee: 09:28:02
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 94 dossier(s) | fin estimee: 09:28:11
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 95 dossier(s) | fin estimee: 09:28:23
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 96 dossier(s) | fin estimee: 09:28:39
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 97 dossier(s) | fin estimee: 09:28:46
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 98 dossier(s) | fin estimee: 09:28:53
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 99 dossier(s) | fin estimee: 09:29:02
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 100 dossier(s) | fin estimee: 09:29:08
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 101 dossier(s) | fin estimee: 09:29:15
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 102 dossier(s) | fin estimee: 09:29:22
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 103 dossier(s) | fin estimee: 09:29:33
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 104 dossier(s) | fin estimee: 09:29:40
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 105 dossier(s) | fin estimee: 09:29:45
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 106 dossier(s) | fin estimee: 09:29:51
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 107 dossier(s) | fin estimee: 09:29:58
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 108 dossier(s) | fin estimee: 09:30:05
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 109 dossier(s) | fin estimee: 09:30:10
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 110 dossier(s) | fin estimee: 09:30:18
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 111 dossier(s) | fin estimee: 09:30:26
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 112 dossier(s) | fin estimee: 09:30:32
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 113 dossier(s) | fin estimee: 09:30:37
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 114 dossier(s) | fin estimee: 09:30:45
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 115 dossier(s) | fin estimee: 09:30:51
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 116 dossier(s) | fin estimee: 09:30:58
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 117 dossier(s) | fin estimee: 09:31:02
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 118 dossier(s) | fin estimee: 09:31:06
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 119 dossier(s) | fin estimee: 09:31:10
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 120 dossier(s) | fin estimee: 09:31:16
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 121 dossier(s) | fin estimee: 09:31:18
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 122 dossier(s) | fin estimee: 09:31:21
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 123 dossier(s) | fin estimee: 09:31:23
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 124 dossier(s) | fin estimee: 09:31:26
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 125 dossier(s) | fin estimee: 09:31:27
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 126 dossier(s) | fin estimee: 09:31:29
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 127 dossier(s) | fin estimee: 09:31:33
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 128 dossier(s) | fin estimee: 09:31:35
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 129 dossier(s) | fin estimee: 09:31:36
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 130 dossier(s) | fin estimee: 09:31:40
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 131 dossier(s) | fin estimee: 09:31:42
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 132 dossier(s) | fin estimee: 09:31:45
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 133 dossier(s) | fin estimee: 09:31:47
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 134 dossier(s) | fin estimee: 09:31:50
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 135 dossier(s) | fin estimee: 09:31:52
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 136 dossier(s) | fin estimee: 09:31:54
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 137 dossier(s) | fin estimee: 09:32:00
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 138 dossier(s) | fin estimee: 09:32:04
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 139 dossier(s) | fin estimee: 09:32:05
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 140 dossier(s) | fin estimee: 09:32:06
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 141 dossier(s) | fin estimee: 09:32:09
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 142 dossier(s) | fin estimee: 09:32:16
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 143 dossier(s) | fin estimee: 09:32:29
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 144 dossier(s) | fin estimee: 09:32:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 145 dossier(s) | fin estimee: 09:32:41
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 146 dossier(s) | fin estimee: 09:32:47
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 147 dossier(s) | fin estimee: 09:32:53
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 148 dossier(s) | fin estimee: 09:33:00
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 149 dossier(s) | fin estimee: 09:33:06
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 150 dossier(s) | fin estimee: 09:33:11
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 151 dossier(s) | fin estimee: 09:33:14
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 152 dossier(s) | fin estimee: 09:33:14
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 153 dossier(s) | fin estimee: 09:33:14
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 154 dossier(s) | fin estimee: 09:33:14
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 155 dossier(s) | fin estimee: 09:33:14
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 156 dossier(s) | fin estimee: 09:33:14
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 157 dossier(s) | fin estimee: 09:33:15
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 158 dossier(s) | fin estimee: 09:33:15
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 159 dossier(s) | fin estimee: 09:33:21
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 160 dossier(s) | fin estimee: 09:33:28
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 161 dossier(s) | fin estimee: 09:33:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 162 dossier(s) | fin estimee: 09:33:40
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 163 dossier(s) | fin estimee: 09:33:47
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 164 dossier(s) | fin estimee: 09:33:52
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 165 dossier(s) | fin estimee: 09:33:58
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 166 dossier(s) | fin estimee: 09:34:02
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 167 dossier(s) | fin estimee: 09:34:08
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 168 dossier(s) | fin estimee: 09:34:17
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 169 dossier(s) | fin estimee: 09:34:23
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 170 dossier(s) | fin estimee: 09:34:29
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 171 dossier(s) | fin estimee: 09:34:36
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 172 dossier(s) | fin estimee: 09:34:47
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 173 dossier(s) | fin estimee: 09:34:52
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 174 dossier(s) | fin estimee: 09:34:58
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 175 dossier(s) | fin estimee: 09:35:04
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 176 dossier(s) | fin estimee: 09:35:11
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 177 dossier(s) | fin estimee: 09:35:17
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 178 dossier(s) | fin estimee: 09:35:23
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 179 dossier(s) | fin estimee: 09:35:28
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 180 dossier(s) | fin estimee: 09:35:33
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 181 dossier(s) | fin estimee: 09:35:41
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 182 dossier(s) | fin estimee: 09:35:47
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 183 dossier(s) | fin estimee: 09:35:53
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 184 dossier(s) | fin estimee: 09:35:58
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 185 dossier(s) | fin estimee: 09:36:06
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 186 dossier(s) | fin estimee: 09:36:11
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 187 dossier(s) | fin estimee: 09:36:17
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 188 dossier(s) | fin estimee: 09:36:25
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 189 dossier(s) | fin estimee: 09:36:33
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 190 dossier(s) | fin estimee: 09:36:40
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 191 dossier(s) | fin estimee: 09:36:49
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 192 dossier(s) | fin estimee: 09:37:00
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 193 dossier(s) | fin estimee: 09:37:11
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 194 dossier(s) | fin estimee: 09:37:17
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 195 dossier(s) | fin estimee: 09:37:23
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 196 dossier(s) | fin estimee: 09:37:29
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 197 dossier(s) | fin estimee: 09:37:43
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 198 dossier(s) | fin estimee: 09:37:50
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 199 dossier(s) | fin estimee: 09:38:00
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 200 dossier(s) | fin estimee: 09:38:06
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 201 dossier(s) | fin estimee: 09:38:18
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 202 dossier(s) | fin estimee: 09:38:25
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 203 dossier(s) | fin estimee: 09:38:32
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 204 dossier(s) | fin estimee: 09:38:37
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 205 dossier(s) | fin estimee: 09:38:46
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 206 dossier(s) | fin estimee: 09:38:54
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 207 dossier(s) | fin estimee: 09:39:02
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 208 dossier(s) | fin estimee: 09:39:12
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 209 dossier(s) | fin estimee: 09:39:19
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 210 dossier(s) | fin estimee: 09:39:28
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 211 dossier(s) | fin estimee: 09:39:35
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 3 traite | 212 dossier(s) | fin estimee: 09:39:41
