
=== RECUPERATION DIRECTE DES 3 NIVEAUX ===

  [PROGRESSION]    0,0% | bibliotheque 0/0 | demarrage | 0 dossier(s) | fin estimee: calcul en cours
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 61 dossier(s) | fin estimee: 16:39:06
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 62 dossier(s) | fin estimee: 16:39:03
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 63 dossier(s) | fin estimee: 16:39:00
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 64 dossier(s) | fin estimee: 16:38:58
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 65 dossier(s) | fin estimee: 16:38:55
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 66 dossier(s) | fin estimee: 16:38:53
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 67 dossier(s) | fin estimee: 16:38:50
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 68 dossier(s) | fin estimee: 16:38:48
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 69 dossier(s) | fin estimee: 16:38:45
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 70 dossier(s) | fin estimee: 16:38:44
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 71 dossier(s) | fin estimee: 16:38:41
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 72 dossier(s) | fin estimee: 16:38:41
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 73 dossier(s) | fin estimee: 16:38:38
  [PROGRESSION]    2,5% | bibliotheque 1/17 | groupes/roles du niveau 2 | 74 dossier(s) | fin estimee: 16:38:37
  [PROGRESSION]    2,5% | bibliotheque 1/17 | groupes/roles du niveau 2 | 75 dossier(s) | fin estimee: 16:38:35
  [PROGRESSION]    2,5% | bibliotheque 1/17 | groupes/roles du niveau 2 | 76 dossier(s) | fin estimee: 16:38:33
  [PROGRESSION]    2,5% | bibliotheque 1/17 | groupes/roles du niveau 2 | 77 dossier(s) | fin estimee: 16:38:40
  [PROGRESSION]    2,5% | bibliotheque 1/17 | groupes/roles du niveau 2 | 78 dossier(s) | fin estimee: 16:38:38
  [PROGRESSION]    2,5% | bibliotheque 1/17 | groupes/roles du niveau 2 | 79 dossier(s) | fin estimee: 16:38:35
  [PROGRESSION]    2,5% | bibliotheque 1/17 | groupes/roles du niveau 2 | 80 dossier(s) | fin estimee: 16:38:36
  [PROGRESSION]    2,5% | bibliotheque 1/17 | groupes/roles du niveau 2 | 81 dossier(s) | fin estimee: 16:38:35
  [PROGRESSION]    2,5% | bibliotheque 1/17 | groupes/roles du niveau 2 | 82 dossier(s) | fin estimee: 16:38:35
  [PROGRESSION]    2,5% | bibliotheque 1/17 | groupes/roles du niveau 2 | 83 dossier(s) | fin estimee: 16:38:34
  [PROGRESSION]    2,5% | bibliotheque 1/17 | groupes/roles du niveau 2 | 84 dossier(s) | fin estimee: 16:38:35
  [PROGRESSION]    2,5% | bibliotheque 1/17 | groupes/roles du niveau 2 | 85 dossier(s) | fin estimee: 16:38:32
  [PROGRESSION]    2,6% | bibliotheque 1/17 | groupes/roles du niveau 2 | 86 dossier(s) | fin estimee: 16:38:31
  [PROGRESSION]    2,6% | bibliotheque 1/17 | groupes/roles du niveau 2 | 87 dossier(s) | fin estimee: 16:38:29
  [PROGRESSION]    2,6% | bibliotheque 1/17 | groupes/roles du niveau 2 | 88 dossier(s) | fin estimee: 16:38:27
  [PROGRESSION]    2,6% | bibliotheque 1/17 | groupes/roles du niveau 2 | 89 dossier(s) | fin estimee: 16:38:29
  [PROGRESSION]    2,6% | bibliotheque 1/17 | groupes/roles du niveau 2 | 90 dossier(s) | fin estimee: 16:38:29
  [PROGRESSION]    2,6% | bibliotheque 1/17 | groupes/roles du niveau 2 | 91 dossier(s) | fin estimee: 16:38:26
  [PROGRESSION]    2,6% | bibliotheque 1/17 | groupes/roles du niveau 2 | 92 dossier(s) | fin estimee: 16:38:24
  [PROGRESSION]    2,6% | bibliotheque 1/17 | groupes/roles du niveau 2 | 93 dossier(s) | fin estimee: 16:38:25
  [PROGRESSION]    2,6% | bibliotheque 1/17 | groupes/roles du niveau 2 | 94 dossier(s) | fin estimee: 16:38:22
  [PROGRESSION]    2,6% | bibliotheque 1/17 | groupes/roles du niveau 2 | 95 dossier(s) | fin estimee: 16:38:21
  [PROGRESSION]    2,6% | bibliotheque 1/17 | groupes/roles du niveau 2 | 96 dossier(s) | fin estimee: 16:38:19
  [PROGRESSION]    2,6% | bibliotheque 1/17 | groupes/roles du niveau 2 | 97 dossier(s) | fin estimee: 16:38:17
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 98 dossier(s) | fin estimee: 16:38:15
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 99 dossier(s) | fin estimee: 16:38:14
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 100 dossier(s) | fin estimee: 16:38:13
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 101 dossier(s) | fin estimee: 16:38:13
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 102 dossier(s) | fin estimee: 16:38:10
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 103 dossier(s) | fin estimee: 16:38:08
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 104 dossier(s) | fin estimee: 16:38:05
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 105 dossier(s) | fin estimee: 16:38:04
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 106 dossier(s) | fin estimee: 16:38:01
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 107 dossier(s) | fin estimee: 16:37:58
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 108 dossier(s) | fin estimee: 16:37:57
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 109 dossier(s) | fin estimee: 16:37:56
  [PROGRESSION]    2,7% | bibliotheque 1/17 | groupes/roles du niveau 2 | 110 dossier(s) | fin estimee: 16:37:56
  [PROGRESSION]    2,8% | bibliotheque 1/17 | groupes/roles du niveau 2 | 111 dossier(s) | fin estimee: 16:37:53
  [PROGRESSION]    2,8% | bibliotheque 1/17 | groupes/roles du niveau 2 | 112 dossier(s) | fin estimee: 16:37:51
  [PROGRESSION]    2,8% | bibliotheque 1/17 | groupes/roles du niveau 2 | 113 dossier(s) | fin estimee: 16:37:48
  [PROGRESSION]    2,8% | bibliotheque 1/17 | groupes/roles du niveau 2 | 114 dossier(s) | fin estimee: 16:37:47
  [PROGRESSION]    2,8% | bibliotheque 1/17 | groupes/roles du niveau 2 | 115 dossier(s) | fin estimee: 16:37:44
